Data,Dij,Origin,Destination,Oi,Dj,test1,test2
0,0,1,1,679180,676308,27052.32,15092.88889
180048,219,1,2,679180,1155811,46232.44,15092.88889
79223,1009,1,3,679180,1789112,71564.48,15092.88889
26887,1514,1,4,679180,942162,37686.48,15092.88889
198144,974,1,5,679180,2484387,99375.48,15092.88889
17995,1268,1,6,679180,819222,32768.88,15092.88889
35563,1795,1,7,679180,1237079,49483.16,15092.88889
30528,2420,1,8,679180,1067069,42682.76,15092.88889
110792,3174,1,9,679180,2143172,85726.88,15092.88889
283049,219,2,1,1874320,676308,27052.32,41651.55556
0,0,2,2,1874320,1155811,46232.44,41651.55556
300345,831,2,3,1874320,1789112,71564.48,41651.55556
67280,1336,2,4,1874320,942162,37686.48,41651.55556
718673,755,2,5,1874320,2484387,99375.48,41651.55556
55094,1049,2,6,1874320,819222,32768.88,41651.55556
93434,1576,2,7,1874320,1237079,49483.16,41651.55556
87987,2242,2,8,1874320,1067069,42682.76,41651.55556
268458,2996,2,9,1874320,2143172,85726.88,41651.55556
87267,1009,3,1,2134267,676308,27052.32,47428.15556
237229,831,3,2,2134267,1155811,46232.44,47428.15556
0,0,3,3,2134267,1789112,71564.48,47428.15556
281791,505,3,4,2134267,942162,37686.48,47428.15556
551483,1019,3,5,2134267,2484387,99375.48,47428.15556
230788,662,3,6,2134267,819222,32768.88,47428.15556
178517,933,3,7,2134267,1237079,49483.16,47428.15556
172711,1451,3,8,2134267,1067069,42682.76,47428.15556
394481,2205,3,9,2134267,2143172,85726.88,47428.15556
29877,1514,4,1,1213005,676308,27052.32,26955.66667
60681,1336,4,2,1213005,1155811,46232.44,26955.66667
286580,505,4,3,1213005,1789112,71564.48,26955.66667
0,0,4,4,1213005,942162,37686.48,26955.66667
143860,1370,4,5,1213005,2484387,99375.48,26955.66667
49892,888,4,6,1213005,819222,32768.88,26955.66667
185618,654,4,7,1213005,1237079,49483.16,26955.66667
181868,946,4,8,1213005,1067069,42682.76,26955.66667
274629,1700,4,9,1213005,2143172,85726.88,26955.66667
130830,974,5,1,1765650,676308,27052.32,39236.66667
382565,755,5,2,1765650,1155811,46232.44,39236.66667
346407,1019,5,3,1765650,1789112,71564.48,39236.66667
92308,1370,5,4,1765650,942162,37686.48,39236.66667
0,0,5,5,1765650,2484387,99375.48,39236.66667
252189,482,5,6,1765650,819222,32768.88,39236.66667
192223,1144,5,7,1765650,1237079,49483.16,39236.66667
89389,2278,5,8,1765650,1067069,42682.76,39236.66667
279739,2862,5,9,1765650,2143172,85726.88,39236.66667
21434,1268,6,1,986050,676308,27052.32,21912.22222
53772,1049,6,2,986050,1155811,46232.44,21912.22222
287340,662,6,3,986050,1789112,71564.48,21912.22222
49828,888,6,4,986050,942162,37686.48,21912.22222
316650,482,6,5,986050,2484387,99375.48,21912.22222
0,0,6,6,986050,819222,32768.88,21912.22222
141679,662,6,7,986050,1237079,49483.16,21912.22222
27409,1795,6,8,986050,1067069,42682.76,21912.22222
87938,2380,6,9,986050,2143172,85726.88,21912.22222
30287,1795,7,1,1146498,676308,27052.32,25477.73333
64645,1576,7,2,1146498,1155811,46232.44,25477.73333
161645,933,7,3,1146498,1789112,71564.48,25477.73333
144980,654,7,4,1146498,942162,37686.48,25477.73333
199466,1144,7,5,1146498,2484387,99375.48,25477.73333
121366,662,7,6,1146498,819222,32768.88,25477.73333
0,0,7,7,1146498,1237079,49483.16,25477.73333
134229,1287,7,8,1146498,1067069,42682.76,25477.73333
289880,1779,7,9,1146498,2143172,85726.88,25477.73333
21450,2420,8,1,987331,676308,27052.32,21940.68889
43749,2242,8,2,987331,1155811,46232.44,21940.68889
97808,1451,8,3,987331,1789112,71564.48,21940.68889
113683,946,8,4,987331,942162,37686.48,21940.68889
89806,2278,8,5,987331,2484387,99375.48,21940.68889
25574,1795,8,6,987331,819222,32768.88,21940.68889
158006,1287,8,7,987331,1237079,49483.16,21940.68889
0,0,8,8,987331,1067069,42682.76,21940.68889
437255,754,8,9,987331,2143172,85726.88,21940.68889
72114,3147,9,1,1528021,676308,27052.32,33956.02222
133122,2996,9,2,1528021,1155811,46232.44,33956.02222
229764,2205,9,3,1528021,1789112,71564.48,33956.02222
165405,1700,9,4,1528021,942162,37686.48,33956.02222
266305,2862,9,5,1528021,2484387,99375.48,33956.02222
66324,2380,9,6,1528021,819222,32768.88,33956.02222
252039,1779,9,7,1528021,1237079,49483.16,33956.02222
342948,754,9,8,1528021,1067069,42682.76,33956.02222
0,0,9,9,1528021,2143172,85726.88,33956.02222
